POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage nature équilibre 40 % MG 60 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage frais nature  20 % MG 60 g,22409,"Petit suisse 1/2 ecrm 3,8%(60Gx6)x8 Yopl",,YOPLAIT,YOPLAIT,France,PLAQUE,de,6,POT(S), à  ,"0,624",€,POT,6
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais nature 5 kg,25434,"Fromage blanc nature BIO 3,6% 5KG VRAI",,VRAI,TRIBALLAT NOYAL,,SEAU,de,5,KG, à  ,"20,14",€,KG,1
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais battu  20 %MG 5 kg,7462,"Fromage blanc nat 3,2% France 5KG PPF",,POMONA PASSION FROID,POMONA PassionFroid,France,SEAU,de,5,KG, à  ,"5,641",€,KG,1
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais battu 40 %MG  5 kg,42959,"Fromage blanc nature 7,8% France 5KG PPF",,POMONA PASSION FROID,POMONA PassionFroid,France,SEAU,de,5,KG, à  ,"6,82",€,KG,1
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais camp. 40 %MG 5 kg,30968,Fromage blanc campagne 7% 5KG Alsace Lt,,ALSACE LAIT,ALSACE LAIT,UE,SEAU,de,5,KG, à  ,"5,744",€,KG,1
POMONA PASSION  FROID,CREME SUCREE,Crème anglaise  oeufs UHT  Brique 2 l,17695,Creme anglaise UHT 2Lx6btl /12L Debic,,DEBIC,FRIESLAND FOOD,Belgique - Pays-Bas,BRIQUE,de,2,L, à  ,"4,308",€,L,1
POMONA PASSION  FROID,CREME SUCREE,Crème anglaise oeufs UHT Brique  1 l,7999,Creme anglaise UHT France 1Lx6brq PPF,,POMONA PASSION FROID,POMONA PassionFroid,,BRIQUE,de,1,L, à  ,"1,051",€,L,1
POMONA PASSION  FROID,DESSERTS,pot danette chocolat 125g,13155,Danette chocolat (125Gx4)x8 /32p Danone,,DANETTE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,4,POT(S), à  ,"1,464",€,POT,1
POMONA PASSION  FROID,DESSERTS,créme dessert riche en protéines vanille 100g,30810,Creme dess Force+ vanil (100Gx4x6) /24p,,SANS MARQUE,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"9,288",€,POT,1
POMONA PASSION  FROID,DESSERTS,créme dessert riche en protéines chocolat 100g,30807,Creme dess Force+ choc (100Gx4x6)/24p,,SANS MARQUE,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"9,288",€,POT,1
POMONA PASSION  FROID,DESSERTS,créme dessert riche en protéines praliné 100g,40542,Creme dess Force+ praline (100Gx4x6)/24p,,SANS MARQUE,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"9,288",€,POT,1
POMONA PASSION  FROID,DESSERTS,créme dessert riche en protéines caramel 100g,40509,Creme dess Force+ caramel (100Gx4x6)/24p,,SANS MARQUE,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"9,288",€,POT,1
POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier caramel  125 g,21755,Creme onctueuse caramel (125Gx4)x6 /24p,,SANS MARQUE,LAITERIE SAINT PÈRE,France,PLAQUE,de,4,POT(S), à  ,"0,56",€,POT,1
POMONA PASSION  FROID,DESSERTS,Crème dessert au lait entier chocolat  125 g,21757,Creme onctueuse sav choc (125Gx4)x6 /24p,,SANS MARQUE,LAITERIE SAINT PÈRE,France,PLAQUE,de,4,POT(S), à  ,"0,558",€,POT,1
